customer_id,customer_name,customer_email,signup_at,metadata_super,region_raw,marketing_source_raw
1,Customer 1,user_1@example.com,2024-12-18T00:00:00.000Z,"{""region"":""None"",""source"":""referral"",""ip_address"":""192.168.1.1""}",None,referral
2,Customer 2,user_2@example.com,2024-08-27T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.2""}",APAC,paid_social
3,Customer 3,user_3@example.com,2024-07-05T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.3""}",APAC,organic
4,Customer 4,user_4@example.com,2024-01-20T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.4""}",None,google_ads
5,Customer 5,user_5@example.com,2024-07-21T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.5""}",EMEA,paid_social
6,Customer 6,user_6@example.com,2024-12-23T00:00:00.000Z,"{""region"":""US"",""source"":""organic"",""ip_address"":""192.168.1.6""}",US,organic
7,Customer 7,user_7@example.com,2024-08-01T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.7""}",APAC,organic
8,Customer 8,user_8@example.com,2024-11-07T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.8""}",APAC,organic
9,Customer 9,user_9@example.com,2024-02-22T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.9""}",None,google_ads
10,Customer 10,user_10@example.com,2024-09-14T00:00:00.000Z,"{""region"":""EMEA"",""source"":""google_ads"",""ip_address"":""192.168.1.10""}",EMEA,google_ads
11,Customer 11,user_11@example.com,2024-01-10T00:00:00.000Z,"{""region"":""US"",""source"":""organic"",""ip_address"":""192.168.1.11""}",US,organic
12,Customer 12,user_12@example.com,2024-08-08T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.12""}",APAC,paid_social
